left context,original word,right context,Match Type,word correction,hun correction,Abkürzung,Eigenname,URL/Email,Englisch,Österreichisch
gehört,Metallica,-,2,Metallica,Metallic,,1,,,
in,Black,-,2,Black,Blick,,,,1,
lebhafte,erinnerung,daran,1,Erinnerung,Erinnerung,,,,,
gesagt,Pscht,ruhig,1,Pscht,Pacht,,1,,,
vom,8ten,auf,2,8ten,Texten,1,,,,
den,9ten,November,2,9ten,Texten,1,,,,
allein,ca,6,3,ca,ca.,1,,,,
dritt,ne,Sause,0,ne,nie,,,,,
Tolles,Erlbnis,-,1,Erlebnis,Erlebnis,,,,,
30,jahre,-,1,Jahre,Jahre,,,,,
war,pleiter,als,1,pleite,pleite,,,,,
Südamerika,vertschüssten,oder,5,verschossen,verschüchterten,,,,,
Die,MwSt,stieg,1,MwSt.,MwSt.,1,,,,
wie,Hartz4,etc,2,Hartz4,Hartz,1,,,,
Hartz4,etc,folgten,2,etc.,et,1,,,,
kleine,anregung,die,1,Anregung,Anregung,,,,,
die,staatsverschuldung,der,1,Staatsverschuldung,Staatsverschuldung,,,,,
des,bip,war,1,BIP,BIP,,,,,
jene,österreichs,oder,1,Österreichs,Österreichs,,,,,
der,brd,heute,1,BRD,BRD,,,,,
Wind,of,Change,2,of,oft,,,,1,
of,Change,und,2,Change,Charge,,,,1,
meiner,WG,Kolleginnen,2,WG,WEG,1,,,,
rumliegen,-D,Es,0,-D,AD,,,,,
Mich,ueberkommt,auch,1,überkommt,überkommt,,,,,
die,Ruehrung,wenn,1,Rührung,Rührung,,,,,
so,aehnlich,dass,1,ähnlich,ähnlich,,,,,
Truppenübungsplatz,Allentsteig,also,5,Allentsteig,Allenstein,,1,,,
nicht,klugsch,aber,0,klatsch,klugschiss,,,,,
sollte,Ac/Dc,da,2,Ac/Dc,Acidum,,1,,,
to,black,-,2,black,back,,,,1,
von,garnichts,haben,3,Garnichts,gar nichts,,,,,
ob,Hikmet,sich,2,Hikmet,Metaethik,,1,,,
mit,Salafisten,und,3,Satanisten,Salafisten,,,,,
war,vielzusehr,mit,5,vielzusehr,Vielzeller,,,,,
alle,mitgeheult,Ich,3,mitgeheult,mit geheult,,,,,
Heirat,rausgekommen,Danach,2,rausgekommen,ausgekommen,,,,,
Danach,wars,dann,5,wars,ward,,,,,
der,schöpfer,des,1,Schöpfer,Schöpfer,,,,,
des,lehmanns,mittlerweile,2,Lehmanns,Sehmanns,,1,,,
der,hand,-,3,hand,Hand,,,,,
-,wow,so,2,wow,wo,1,,,,
der,bilder,aber,1,Bilder,Bilder,,,,,
meinen,vater,der,1,Vater,Vater,,,,,
kaum,dreissig,-,1,Dreißig,dreißig,,,,,
des,nu,derleb,5,nu,neu,,,,,
nu,derleb,tja,0,derlei,derlei,,,,,1
meinem,Trabbi,und,2,Trabbi,Trabi,,1,,,
und,nem,Kumpel,5,Nehm,dem,,,,,
schlechten,Esatzteilversorgung,für,3,Esatzteilversorgung,Ersatzteilversorgung,,,,,
den,Ladas,Tatras,2,Ladas,Laas,,1,,,
Ladas,Tatras,und,5,Tantras,Tatars,,1,,,
und,Trabants,haben,5,Trabants,Trabant,,1,,,
verdüstert,Aja,und,0,Aja,Aa,,,,,
Liebe,Community,bei,2,Community,Kommunität,,,,1,
11,follower,angezeigt,5,follower,Flowerpower,,,,1,
sehen,Gibts,da,5,Gibst,Gifts,,,,,
die,CSSR,-,2,CSSR,CSFR,1,,,,
die,achziger,erinnern,1,achtziger,achtziger,,,,,
-,start,der,3,start,Start,,,,,
der,simpsons,-,2,Simpsons,Simplons,,1,,,
-,nirvana,veröffentlichen,5,nirvana,Nirwana,,1,,,
veröffentlichen,bleach,nintendo,2,bleach,bleich,,,,1,
bleach,nintendo,den,3,nistende,Nintendo,,,,,
den,game,boy,2,game,gare,,,,1,
game,boy,-,1,boy,Boy,,,,,
-,gerhard,berger,1,Gerhard,Gerhard,,1,,,
gerhard,berger,crasht,1,Berger,Berger,,1,,,
berger,crasht,in,5,Crash,Crashtest,,,,1,
in,imola,politisch,0,Irmela,Imola,,,,,
-,bush,vs,3,bush,Bush,,1,,,
bush,vs,dukakis,3,vs,vs.,1,,,,
vs,dukakis,-,2,Dukakis,Kakis,,1,,,
-,james,bond,1,James,James,,1,,,
james,bond,vs,3,bond,Bond,,1,,,
vs,drogenboss,franz,3,Drogen Boss,Drogenboss,,,,,
drogenboss,franz,sanchez,5,franz,Franz,,,,,
franz,sanchez,-,5,Sache,Ganzsache,,1,,,
-,hasselhoff,vs,2,Hasselhoff,Hasselfelde,,1,,,
vs,gorbatschow,hab,1,Gorbatschow,Gorbatschow,,1,,,
zum,fruehstueck,und,5,frühstück,Gehstrecke,,,,,
die,stiefmama,heult,2,Stief Mama,-tiefmama,,,,,
mir,mei,was,0,mein,mein,,,,,1
was,is,denn,5,is,iss,,,,,1
am,wasser,gebaut,2,Wasser,wassre,,,,,
zum,fernseher,der,1,Fernseher,Fernseher,,,,,
die,menschen,tanzen,3,menschen,Menschen,,,,,
und,ploetzlich,wurde,1,plötzlich,plötzlich,,,,,
als,pubertaerem,rotzbub,1,pubertärem,pubertärem,,,,,
pubertaerem,rotzbub,klar,5,rotzbub,Zubrot,,,,,1
alles,aendern,selbst,1,ändern,ändern,,,,,
-,AC/DC,klar,2,AC/DC,ACIDUM,,1,,,
die,LP,eigentlich,2,LP,KP,1,,,,
meine,Metal,-,2,Metal,Metall,,,,1,
Phase,Pantera,Soundgarden,5,Panter,Panters,,1,,,
Soundgarden,Faith,no,2,Faith,Parfait,,,,1,
Faith,no,more,2,no,eo,,,,1,
no,more,usw,2,more,morse,,,,1,
more,usw,Die,1,usw.,usw.,,,,,
verschwommen,sorry,-,2,sorry,Story,,,,1,
-,blödsinn,ersatzteile,1,Blödsinn,Blödsinn,,,,,
blödsinn,ersatzteile,für,1,Ersatzteile,Ersatzteile,,,,,
den,trabbi,gabs,2,Trabbi,-rabbi,,1,,,
trabbi,gabs,in,5,gabs,gab,,,,,
jedem,überraschungsei,-,3,Überraschung sei,Überraschungsei,,,,,
Rubrik,posten,-,1,posten,Posten,,,,,
-,wessi,und,5,Wess,wisse,,1,,,
und,ossi,treffen,5,Bossi,fossil,,1,,,
mein,erinnerbares,Leben,2,erinnerbares,erinner bares,,,,,
wurde,foto,ap/lionel,1,Foto,Foto,,,,,
foto,ap/lionel,cironneau,0,am,Appellation,,,,,
ap/lionel,cironneau,Die,5,cironneau,Rondeau,,1,,,
keinen,herrscher,gibt,1,Herrscher,Herrscher,,,,,
uns,polizei,-,1,Polizei,Polizei,,,,,
Jahren,raufgegangen,bin,2,raufgegangen,aufgegangen,,,,,
Das,Ceausescu-Regime,war,2,Ceausescu-Regime,Schmause-Regime,,1,,,
von,Ceausescus,Exekution,2,Ceausescus,Sauseschritt,,1,,,
j,aauchnur,5,5,Aachner,Schnurrhaar,,,,,
mit,ner,Strumpfhose,5,nur,er,,,,,
sie,heißn,net,2,heißen,heiß,,,,,
heißn,net,zufällig,5,net,et,,,,,1
zufällig,hatzinger,und,5,hitziger,Ratzinger,,1,,,
einen,fleischer-,&,2,fleischer-,-fleischer,,,,,
&,selchmeister,namens,5,selchmeister,Kelchmeister,,,,,
namens,bockerer,-,4,lockerer,lockerer,,,,,
in,Lignano,das,5,Lignine,Gemignano,,1,,,
Hotel,Kvarner,bzw,5,Karner,Arverner,,1,,,
über,booking,com,2,booking,Smoking,,,,1,
booking,com,gute,2,com,vom,,,,,
das,schirchste,das,0,schiechste,schirrte,,,,,1
alte,EInrichtung,alte,1,Einrichtung,Einrichtung,,,,,
fehlende,FLiesen,Armaturen,1,Fliesen,Fliesen,,,,,
dem,Zummer,sondern,1,Zimmer,Zimmer,,,,,
mit,max,15,5,max,Max,,,,,
Von,Opatija,bin,5,Optima,Optimat,,1,,,
beim,Schiejok,in,5,Schumejko,Schierke,,1,,,
dem,Resetarits,geschrieben,2,Resetarits,Sekretariats,,1,,,
das,corpus,delicti,5,corpus,Korpus,,,,,
corpus,delicti,aufgehoben,5,Delikt,deliktisch,,,,,
mit,dna-proben,kann,5,da,DNA-proben,,,,,
tatsächliche,temperatur,feststellen,1,Temperatur,Temperatur,,,,,
das,hotel,voll,3,hotel,Hotel,,,,,
viel,erfolg,-,1,Erfolg,Erfolg,,,,,
wir,nix,aufgedreht,5,nix,Unix,,,,,
vom,Nachtkastl,-,0,Nachtasyl,Nachtkaste,,,,,1
in,Leeds,Frühstück,2,Leeds,Lees,,1,,,
Frühstück,gab's,genau,5,gab's,Gabys,,,,,
verkündete,Brreeeakfast,isss,5,Brreeeakfast,Fastenbrechen,,,,1,
Brreeeakfast,isss,rrready,4,iss,iss,,,,1,
isss,rrready,Am,5,rrready,Readymade,,,,1,
Frage,Arrre,you,4,Rarer,Rarer,,,,1,
Arrre,you,coming,2,you,YouTube,,,,1,
you,coming,orrr,2,coming,Cognomina,,,,1,
coming,orrr,not,5,Ort,Horror,,,,1,
orrr,not,veranlasst,2,not,Not,,,,1,
Wir,haben's,mir,5,haben's,Habens,,,,,
mal,gehts,nach,4,gehst,gehst,,,,,
-,familienzimmer,in,1,Familien Zimmer,Familienzimmer,,,,,
in,mönichkirchen,angeblich,5,mönichkirchen,Kircheninneren,,1,,,
4,stern,verstaubte,3,stern,Stern,,,,,
verstaubte,männerunterhose,im,1,Männer Unterhose,Männerunterhose,,,,,
im,kasten,ein,1,Kasten,Kasten,,,,,
rotes,telephon,mit,2,Telefon,Telephon,,,,,
mit,wählscheibe,am,1,Wählscheibe,Wählscheibe,,,,,
am,nachkastl,wie,0,nachkamst,nachkantisch,,,,,1
aus,breschnjews,besten,5,Breschnews,brechtsches,,1,,,
besten,zeiten,und,1,Zeiten,Zeiten,,,,,
ein,dreh-lichtschalter,der,5,dreh-lichtschalter,-drehlichtschalter,,,,,
uralten,ventilator,oder,3,ventilator,Ventilator,,,,,
die,nachkastllampe,aktiviert,5,nachkastllampe,Nachkommastelle,,,,,1
im,wohnraum,ein,1,Wohnraum,Wohnraum,,,,,
ausrangierter,grosser,glasvitrinenschrank,3,grosser,großer,,,,,
grosser,glasvitrinenschrank,komplett,3,Glasvitrinen Schrank,Glasvitrinenschrank,,,,,
einer,grossen,bogen,3,Großen,großen,,,,,
die,kategorie,schräges,1,Kategorie,Kategorie,,,,,
schräges,hotelerlebnis,erlebnis,3,Hotel Erlebnis,Hotelerlebnis,,,,,
hotelerlebnis,erlebnis,einordnen,1,Erlebnis,Erlebnis,,,,,
ein,reiterhof,aber,3,Reiter Hof,Reiterhof,,,,,
genug,reiturlaub,für,2,Resturlaub,Reiturlaub,,,,,
für,familie,mit,1,Familie,Familie,,,,,
zwei,kindern-6,und,3,kindern-6,Kindern-6,,,,,
11,jahre-in,einem,3,Jahre,Jahre-in,,,,,
in,weißenbach,an,3,Weidenbach,Weißenbach,,1,,,
der,enns,gebucht,1,Enns,Enns,,1,,,
gebucht,appartement,ohne,1,Appartement,Appartement,,,,,
ohne,kochgelegenheit,wurde,1,Kochgelegenheit,Kochgelegenheit,,,,,
als,ferienwohnung,angepriesen,1,Ferienwohnung,Ferienwohnung,,,,,
tägliche,reitstunden,und,2,Reitstunden,reit stunden,,,,,
und,pflegepferde,mithilfe,3,Pflege Pferde,Pflegepferde,,,,,
im,stall,usw,3,stall,Stall,,,,,
viel,glück,eine,3,glück,Glück,,,,,
am,tag,für,2,tag,Tag,,,,,
die,kinder-nix,für,3,kinder-nix,Kinder-nix,,,,,
erwachsene,bad,mit,5,bad,bat,,,,,
ausgeprägter,schimmelkultur,spinnweben,3,Schimmel Kultur,Schimmelkultur,,,,,
schimmelkultur,spinnweben,wie,1,Spinnweben,Spinnweben,,,,,
den,munsters,e-verbindungsdosen,0,Munsters,Musterns,,,,,
munsters,e-verbindungsdosen,wo,5,verbindungslosen,-verbindungsdosen,,,,,
blanken,drähte,heraus,1,Drähte,Drähte,,,,,
drei,riesen,hunde,2,riesen,reisen,,,,,
riesen,hunde,welche,1,Hunde,Hunde,,,,,
den,ställen,und,1,Ställen,Ställen,,,,,
und,misthaufen,in,1,Misthaufen,Misthaufen,,,,,
die,küche,trabten,1,Küche,Küche,,,,,
ihren,durst,aus,3,durst,Durst,,,,,
den,wc-muscheln,stillten,5,wo,WC-muscheln,,,,,
stillten,abruch,nach,2,Abbruch,brauch,,,,,
3,nächten,und,1,Nächten,Nächten,,,,,
eine,besitzerin,welche,1,Besitzerin,Besitzerin,,,,,
die,frechheit,hatte,1,Frechheit,Frechheit,,,,,
2,zimmer,vor,2,Zimmer,zimmer,,,,,
vor,ort,wars,5,ort,rot,,,,,
ein,7er,zimmer,2,7er,er,,,,,
zimmer,juhu,-,2,juhu,-uhu,,,,,
meiner,Exfreundin,-,3,Exfreunden,Exfreundin,,,,,
die,wegstehenden,Eisenteile,2,wegstehenden,wegsehenden,,,,,
waren,aüßerst,unangenehm,1,äußerst,versüßest,,,,,
zum,Ohridsee,und,2,Ohridsee,Ohridee,,1,,,
tolles,Privatquatier,mit,1,Privatquartier,Privatquartier,,,,,
da,soviele,expertis,4,soviel,soviel,,,,,
soviele,expertis,hier,1,Expertise,Expertise,,,,,
meinen,herzenswunsch,loswerden,1,Herzenswunsch,Herzenswunsch,,,,,
den,teris-nachfolger,Weltris,5,Ternis,terig-nachfolger,,1,,,
teris-nachfolger,Weltris,gespielt,5,Weltrats,Weltriss,,1,,,
faden,gegner/verlierer/gewinner,braucht,5,Gegner,Gewinnerzielungsgründen,,,,,
und,reaktionsfähigeit,gefragt,2,Reaktionsfähigkeit,reaktionsfähig,,,,,
im,netzt,durchsucht,5,netzt,nett,,,,,
einen,link,oder,3,link,Link,,,,,
zum,mac,mein,3,mac,Mac,,1,,,
mein,e-mac,hatte,3,e-mac,e-Mac,,1,,,
schweren,nadeldrucker,II,1,Nadeldrucker,Nadeldrucker,,,,,
von,paradise,schlappe,2,paradise,Paradies,,,,1,
9000,deutschmark,gekostet,3,deutschmark,Deutschmark,,,,,
mal,hopps,gegangen,0,Hopps,Mopps,,,,,
jetzt,hab',ich,5,hab',hab,,,,,
das,gehäuse,-,1,Gehäuse,Gehäuse,,,,,
Na,weil's,wahr,5,weil's,Weills,,,,,
ist,sowas,kann,2,so was,Iowas,,,,,
dank,Tripadvisor,die,2,Tripadvisor,Trippstadter,,1,,,
Google,Maps,weiß,2,Maps,Maos,,1,,1,
Osteuropa,gibts,z,5,gibst,gibst,,,,,
in,beliebsten,Städten,5,beliebten,beliebten,,,,,
Riga,Wroclaw,oder,2,Wroclaw,Jaroslawl,,1,,,
Tripadvisor,Booking,com,2,Booking,Smoking,,1,,1,
noch,sonstwas,passt,1,sonst was,sonst was,,,,,
einem,Space-Bordell,Und,2,Space-Bordell,Spate-Bordell,,,,1,
fleckig,Uaah,nie,4,Utah,Utah,,,,,
mit,derStandi-Regi,kommt,5,derStandi-Regi,Widerstand-Regi,,,,,
in,dieStandi,oder,5,dastand,Stadien,,,,,
in,Gallway,Irland,5,Gülay,Gallylen,,1,,,
total,schlatzig-verschimmelte,Duschvorhang,5,schattig,Hitzschlag-verschimmelte,,,,,
dem,Pantscherl,mit,5,Pantscher,Plantsche,,1,,,
Hotel,Tustan,in,5,Tust an,Tust an,,1,,,
in,Drohobytsch,Ukraine,2,Drohobytsch,Hydrolytisch,,1,,,
Hotels,duschen/baden,Ich,2,duschen/baden,abduschenden,,,,,
einer,durchzechten,Nacht,2,durchzechten,durchzechtem,,,,,
unter,bspw,in,1,bspw.,bspw.,,,,,
viele,mehrbeinige,Zimmergenossen,2,mehrbeinige,mehr beinige,,,,,
das,Möbilär,war,5,Mobiler,Möbliere,,,,,
18,Jhd,direkt,2,Jhd.,Jod,,,,,
in,Ulaan,Batar,1,Ulan,Ulan,,1,,,
Ulaan,Batar,haben,4,Baar,Baar,,1,,,
Zimmer,unsereren,Champion,5,unsere Ren,untereren,,,,,
mir,funktioniert's,auch,5,funktioniertes,Funktionierens,,,,,
mit,IE,noch,2,IE,SIE,1,,,,
mit,firefox,-,1,Firefox,Firefox,,1,,,
beim,gacken,erwischt,5,gackern,hacken,,,,,
Gestank,muß,ja,1,muss,muss,,,,,
mein,bezeichnenstes,erlebnis,4,bezeichnetes,bezeichnetes,,,,,
in,san,francisco,5,sang,sahn,,1,,,
san,francisco,meine,1,Francisco,Francisco,,,,,
meine,freundin,und,1,Freundin,Freundin,,,,,
der,sache,als,1,Sache,Sache,,,,,
ein,mann,neben,1,Mann,Mann,,,,,
unserem,bett,stand,1,Bett,Bett,,,,,
sofort,rausgerannt,ich,2,rausgerannt,raus gerannt,,,,,
der,hotelmanager,war,2,Hotel Manager,Hotelmanager,,,,,
anderen,gast,unser,5,gast,sagt,,,,,
zimmer,aufgeperrt,hat,1,aufgesperrt,aufgesperrt,,,,,
es,wär,seins,3,wär,wäre,,,,,
wär,seins,allerdings,5,seins,Seins,,,,,
anderen,stock,-,3,stock,Stock,,,,,
-,Naja,sie,2,Naja,Nama,,,,,
angenehm,wars,wohl,5,warst,ward,,,,,
-,Forza,Chili,2,Forza,Forsa,,1,,,
Chili,el,diablo,4,elf,elf,,,,,
el,diablo,gefolgt,1,Diabolo,Diabolo,,,,,
a,la,Tränentreiber,2,la,al,,,,,
dem,Zwetschkenkompott,Durchlauf,5,Zwetschkenkompott,Zwetschgenkuchen,,,,,1
eine,menschenliebende,Frau,2,menschenliebende,menschenverderbende,,,,,
dir,reingerannt,hätte,2,reingerannt,eingerannt,,,,,
dich,runtergeschubst,und,2,runtergeschubst,runter geschubst,,,,,
selbst,draufgesetzt,-,2,draufgesetzt,daraufgesetzt,,,,,
eine,Meldeadresse/-stelle,an,1,Meldeadresse/-stelle,Meldeadresse-stelle,,,,,
einen,Multiuser,mehrfach,2,Multiuser,Multimeter,,,,1,
in,Threads,auffallend,2,Threads,Headset,,,,1,
vom,3qm,zimmer,2,3qm,qm,,,,,
den,kakerlaken-fallen,im,5,Kakerlaken,Kakerlaken-fallen,,,,,
verschimmelten,mini-bad,und,5,mini-bad,-minibad,,,,,
den,wolldecken,mit,1,Wolldecken,Wolldecken,,,,,
überdimensionalen,tigerkopf-,und,5,tigerkopf-,Kriegerkopf-,,,,,
und,delphinmotiven,die,2,Delphin Motiven,Delphinarien,,,,,
tristen,dasein,noch,1,Dasein,Dasein,,,,,
eine,waschmaschine,gesehen,1,Waschmaschine,Waschmaschine,,,,,
in,london,so,1,London,London,,,,1,
herrliche,shops,wo,1,Shops,Shops,,,,1,
einen,knuspermix,zusammenstellen,5,knuspermix,Knusperhexe,,,,,
mit,ebensolchigem,befülltes,1,ebensolchem,ebensolchem,,,,,
ebensolchigem,befülltes,papiersackerl,3,gefülltes,befülltes,,,,,
befülltes,papiersackerl,hatte,5,Papiersäcke,Lackmuspapier,,,,,1
am,nachtkastl,abgelegt,5,Nachtasyl,Nachtkühle,,,,,1
leisen,kratz-,und,5,kratz-,kratz,,,,,
und,knuspergeräusch,geweckt,5,knuspergeräusch,Knusperhäuschen,,,,,
im,sackerl,sitzen,5,Säckel,ackerlos,,,,,1
genüsslich,mampfen,starr,5,kämpfen,Mampfen,,,,,
vor,schreck,hab,3,schreck,Schreck,,,,,
im,raum,die,3,raum,Raum,,,,,
britische,knuspermaus,-,5,knuspermaus,Knusperns,,,,,
das,is,ja,2,ist,iss,,,,,
ich,hätt',Euch,3,hätt',hätte,,,,,
Nacht,Jössas,Koarl,5,Jozas,Massas,,,,,1
Jössas,Koarl,mir,4,Karl,Karl,,,,,1
Gibts,jo,ned,5,Job,je,,,,,1
jo,ned,wie,5,neu,den,,,,,1
wie,kummst,denn,2,kommst,krummst,,,,,1
denn,do,drauf,5,do,so,,,,,1
drauf,Drausst,vor,5,Draus,Draufhaust,,,,,1
hob,Is,grod,5,Ist,GIs,,,,,1
Is,grod,glesn,4,grob,grob,,,,,1
grod,glesn,Klosett,5,Glens,Gleisner,,,,,1
mein,account,ebenfalls,3,account,Account,,,,,
das,W-Lan,überhaupt,3,Lang,W-LAN,,,,,
ein,posting,nicht,5,Hosting,Postieren,,,,1,
nicht,gscheit,und,1,gescheit,gescheit,,,,,1
meine,gedanken,hinein,1,Gedanken,Gedanken,,,,,
meine,interpretation,-,1,Interpretation,Interpretation,,,,,
-,DAnn,frage,1,Dann,Dann,,,,,
kein,hotel,aber,1,Hotel,Hotel,,,,,
fast,ÖBB,reservierungen,2,ÖBB,BÖBIG,1,,,,
ÖBB,reservierungen,für,1,Reservierungen,Reservierungen,,,,,
für,italien,2,1,Italien,Italien,,,,,
weibliche,personen,+,1,Personen,Personen,,,,,
vorsorgliche,reservierung,für,1,Reservierung,Reservierung,,,,,
alle,fahrten,Ein,1,Fahrten,Fahrten,,,,,
im,schlafwaggon,und,3,Schlafwagen,Schlafwaggon,,,,,
haben,jedesmal,ein,2,jedes Mal,jedes mal,,,,,
ein,frauenabteil,reserviert,3,Frauen Abteil,Frauenabteil,,,,,
der,fall,Wir,3,fall,Fall,,,,,
mit,männern,zusammengelegen,1,Männern,Männern,,,,,
männern,zusammengelegen,Allein,2,zusammengelegen,zusammengelegten,,,,,
80,eur,zusammen,3,eur.,EUR,,,,,
schlimme,hotelerlebnisse,reicht,3,Hotel Erlebnisse,Hotelerlebnisse,,,,,
Solche,HOtels,sollte,1,Hotels,Hotels,,,,,
vielen,Locations,auch,2,Locations,Lotsenstation,,,,1,
ohne,Ringerl,oder,5,Ringer,Ringer,,,,,1
Klein,wohnung,vermietet,1,Wohnung,Wohnung,,,,,
eher,off,topic,2,off,soff,,,,1,
off,topic,hier,5,Topic,topisch,,,,1,
auf,Chlorhältige,Dämpfe,3,Chlor haltige,Chlorhaltige,,,,,
unserem,internat,gab,1,Internat,Internat,,,,,
70er,stil,mit,1,Stil,Stil,,,,,
rauem,stoffbezug,in,3,Stoff Bezug,Stoffbezug,,,,,
im,ort,den,2,Ort,rot,,,,,
gleichen,couch,verbracht,1,Couch,Couch,,,,,
in,peking,in,1,Peking,Peking,,1,,,
einem,superhotel,-,2,super Hotel,Superhotel,,,,,
12-jähriger,sohn,hat,1,Sohn,Sohn,,,,,
eine,schlafwanderung,im,3,schlaf Wanderung,Schlafwanderung,,,,,
langen,fluren,hab,1,Fluren,Fluren,,,,,
beider,barfuss,und,1,barfuß,barfuß,,,,,
in,pyjamas,gerade,1,Pyjamas,Pyjamas,,,,,
vorm,lift,erwischt,2,Lift,lieft,,,,,
das,receptionspersonal,englisch,5,receptionspersonal,Stationspersonal,,,,,
haben,1x,um,2,1x,ex,,,,,
um,23Uhr,und,2,23Uhr,Uhr,,,,,
-,Gibs,doch,5,Gäbs,Gins,,,,,
weil,inhalt-,und,5,inhalt-,inhalts-,,,,,
viel,Spass,weiterhin,1,Spaß,Spaß,,,,,
schlimmstes,Sexerlebnis,war,2,Sexerlebnis,Seeerlebnis,,,,,
war,xy,weil,5,Oxyd,xi,,1,,,
im,derstandard,Ihr,2,der Standard,Aderstandard,,,,,
eine,UID,ersetzt,2,UID,UND,1,,,,
wirklich,unlöschbar,die,5,unlösbar,auslöschbar,,,,,
mir,ersteinmal,einer,1,erst einmal,erst einmal,,,,,
aber,zugebenermaßen,auch,2,zugebenermaßen,zugeben ermaßen,,,,,
-,Tjaja,die,5,Jaja,Tja ja,,1,,,
die,Reception,war,1,Rezeption,Rezeption,,,,,
mit,Snoopyaufdruck,mit,2,Snoopyaufdruck,Stempelaufdruck,,1,,,
mit,Teddybärenaufdruck,Wir,2,Teddybärenaufdruck,Stempelaufdruck,,1,,,
Marlboro,aufgeraucht,und,2,aufgeraucht,aufgetaucht,,,,,
Jetzt,wirds,an,4,wird,wird,,,,,
zu,reissen,nicht,3,Reißen,reißen,,,,,
die,Piefkes,Geschockt,5,Piekest,Piesacke,,1,,,
niederträchtigen,D-Mark-,und,2,D-Mark-,Marken-,,,,,
diese,Austriaken,beinahe,4,Austrinken,Austrinken,,1,,,
namens,Moretti,gar,2,Moretti,Timorer,,1,,,
diese,Alpentaliban,zur,2,Alpentaliban,Talibantrupp,,,,,
weitläufige,strandbuchten,erwartet,3,strandbuchten,Strandbuchten,,,,,
die,stadt,hat,2,Stadt,statt,,,,,
den,aufenthalt,zu,1,Aufenthalt,Aufenthalt,,,,,
kein,problem,damit,1,Problem,Problem,,,,,
